CR/PR,SD,POD,,CR/PR,SD/POD,,PFS-Yes,PFS-No,,,,,,,,,,,
0.785961185,0.191723454,0.022315361,,0.785961185,0.214038815,,0.897859383,0.102140617,,,,,,,,,,,
0.958383404,0.029469219,0.012147377,,0.958383404,0.041616596,,0.064735,0.935265,,,,,,,,,,,
0.149389376,0.024652832,0.825957792,,0.149389376,0.850610624,,0.801280074,0.198719926,,,,,,,,,,,
0.063081895,0.397930769,0.538987336,,0.063081895,0.936918105,,0.90432327,0.09567673,,,,,,,,,,,
0.009836824,0.164822242,0.825340934,,0.009836824,0.990163176,,0.830288012,0.169711988,,,,,,,,,,,
0.05158785,0.01467556,0.93373659,,0.05158785,0.94841215,,0.968686852,0.031313148,,,,,,,,,,,
0.022036025,0.014456398,0.963507576,,0.022036025,0.977963975,,0.802857132,0.197142868,,,,,,,,,,,
0.001812321,0.178066348,0.820121332,,0.001812321,0.998187679,,0.894691683,0.105308317,,,,,,,,,,,
0.005529935,0.005523756,0.988946308,,0.005529935,0.994470065,,0.785136369,0.214863631,,,,,,,,,,,
0.004109112,0.01207568,0.983815208,,0.004109112,0.995890888,,0.965485617,0.034514383,,,,,,,,,,,
0.128573356,0.089476402,0.781950242,,0.128573356,0.871426644,,0.974992804,0.025007196,,,,,,,,,,,
0.833731383,0.031764032,0.134504585,,0.833731383,0.166268617,,0.768979714,0.231020286,,,,,,,,,,,
0.761094578,0.108149152,0.130756271,,0.761094578,0.238905422,,0.889371537,0.110628463,,,,,,,,,,,
0.197380415,0.597988528,0.204631057,,0.197380415,0.802619585,,0.912345055,0.087654945,,,,,,,,,,,
0.112322129,0.811150731,0.076527141,,0.112322129,0.887677871,,0.943693569,0.056306431,,,,,,,,,,,
0.068693723,0.8257011,0.105605178,,0.068693723,0.931306277,,0.781896147,0.218103853,,,,,,,,,,,
0.012192735,0.001820456,0.985986809,,0.012192735,0.987807265,,0.820921046,0.179078954,,,,,,,,,,,
0.070824663,0.055869781,0.873305555,,0.070824663,0.929175337,,0.989839019,0.010160981,,,,,,,,,,,
0.059820795,0.134185825,0.80599338,,0.059820795,0.940179205,,0.908065551,0.091934449,,,,,,,,,,,
0.052045549,0.214309378,0.733645073,,0.052045549,0.947954451,,0.920028293,0.079971707,,,,,,,,,,,
0.211137644,0.00972729,0.779135066,,0.211137644,0.788862356,,0.827205421,0.172794579,,,,,,,,,,,
0.205143568,0.029454888,0.765401545,,0.205143568,0.794856432,,0.929093176,0.070906824,,,,,,,,,,,
0.104670915,0.834105016,0.061224069,,0.104670915,0.895329085,,0.916376322,0.083623678,,,,,,,,,,,
0.003010364,0.984896421,0.012093215,,0.003010364,0.996989636,,0.097100136,0.902899864,,,,,,,,,,,
0.878004993,0.063468475,0.058526532,,0.878004993,0.121995007,,0.820055996,0.179944004,,,,,,,,,,,
0.033960488,0.029749313,0.936290199,,0.033960488,0.966039512,,0.076883637,0.923116363,,,,,,,,,,,
0.052129742,0.0937535,0.854116758,,0.052129742,0.947870258,,0.837698959,0.162301041,,,,,,,,,,,
0.031307661,0.1196761,0.849016239,,0.031307661,0.968692339,,0.890830821,0.109169179,,,,,,,,,,,
0.102036813,0.829404932,0.068558255,,0.102036813,0.897963187,,0.899255038,0.100744962,,,,,,,,,,,
0.79817718,0.099301779,0.10252104,,0.79817718,0.20182282,,0.092114963,0.907885037,,,,,,,,,,,
0.053300195,0.10145107,0.845248736,,0.053300195,0.946699805,,0.935687238,0.064312762,,,,,,,,,,,
0.923609664,0.035154009,0.041236327,,0.923609664,0.076390336,,0.014172032,0.985827968,,,,,,,,,,,
0.793432044,0.029482461,0.177085494,,0.793432044,0.206567956,,0.164511548,0.835488452,,,,,,,,,,,
0.017679687,0.940301394,0.042018918,,0.017679687,0.982320313,,0.778705146,0.221294854,,,,,,,,,,,
0.075229884,0.886672475,0.038097641,,0.075229884,0.924770116,,0.8884983,0.1115017,,,,,,,,,,,
0.065163923,0.115517117,0.81931896,,0.065163923,0.934836077,,0.817928075,0.182071925,,,,,,,,,,,
0.091009513,0.088957029,0.820033458,,0.091009513,0.908990487,,0.976817908,0.023182092,,,,,,,,,,,
0.002676353,0.076253816,0.921069831,,0.002676353,0.997323647,,0.866626772,0.133373228,,,,,,,,,,,
0.079710579,0.004473011,0.915816411,,0.079710579,0.920289421,,0.776718483,0.223281517,,,,,,,,,,,
0.048120442,0.080896808,0.87098275,,0.048120442,0.951879558,,0.774732577,0.225267423,,,,,,,,,,,
0.989970417,0.008652081,0.001377502,,0.989970417,0.010029583,,0.147707341,0.852292659,,,,,,,,,,,
0.001655968,0.00715093,0.991193102,,0.001655968,0.998344032,,0.871253912,0.128746088,,,,,,,,,,,
0.061718076,0.172777628,0.765504297,,0.061718076,0.938281924,,0.116124524,0.883875476,,,,,,,,,,,
0.984827586,0.000633971,0.014538443,,0.984827586,0.015172414,,0.398567013,0.601432987,,,,,,,,,,,
0.042442565,0.093935767,0.863621669,,0.042442565,0.957557435,,0.815625118,0.184374882,,,,,,,,,,,
0.00196826,0.988074495,0.009957245,,0.00196826,0.99803174,,0.996794901,0.003205099,,,,,,,,,,,
0.072437184,0.826247725,0.101315092,,0.072437184,0.927562816,,0.992037982,0.007962018,,,,,,,,,,,
0.018825584,0.87675078,0.104423636,,0.018825584,0.981174416,,0.975609162,0.024390838,,,,,,,,,,,
0.810517952,0.13485777,0.054624278,,0.810517952,0.189482048,,0.442641393,0.557358607,,,,,,,,,,,
0.760478127,0.062659818,0.176862056,,0.760478127,0.239521873,,0.208865531,0.791134469,,,,,,,,,,,
0.001375338,0.997394212,0.001230451,,0.001375338,0.998624662,,0.995659024,0.004340976,,,,,,,,,,,
0.755267782,0.054048268,0.19068395,,0.755267782,0.244732218,,0.112875281,0.887124719,,,,,,,,,,,
0.045943242,0.768620001,0.185436757,,0.045943242,0.954056758,,0.896691817,0.103308183,,,,,,,,,,,
0.028507682,0.190525659,0.780966659,,0.028507682,0.971492318,,0.766281087,0.233718913,,,,,,,,,,,
0.160948867,0.830237172,0.008813961,,0.160948867,0.839051133,,0.883537097,0.116462903,,,,,,,,,,,
0.080969278,0.891375371,0.027655352,,0.080969278,0.919030722,,0.905456168,0.094543832,,,,,,,,,,,
0.1649612,0.799412486,0.035626314,,0.1649612,0.8350388,,0.969254397,0.030745603,,,,,,,,,,,
0.131421493,0.013862403,0.854716104,,0.131421493,0.868578507,,0.001342363,0.998657637,,,,,,,,,,,
0.042121106,0.899874491,0.058004402,,0.042121106,0.957878894,,0.969195712,0.030804288,,,,,,,,,,,
0.007703083,0.96201952,0.030277397,,0.007703083,0.992296917,,0.820327282,0.179672718,,,,,,,,,,,
0.008542248,0.010214163,0.981243589,,0.008542248,0.991457752,,0.967672881,0.032327119,,,,,,,,,,,
0.068898918,0.908178727,0.022922355,,0.068898918,0.931101082,,0.957350449,0.042649551,,,,,,,,,,,
0.027116728,0.157186304,0.815696969,,0.027116728,0.972883272,,0.953527359,0.046472641,,,,,,,,,,,
0.752314254,0.066767341,0.180918405,,0.752314254,0.247685746,,0.173938906,0.826061094,,,,,,,,,,,
0.769419319,0.145216352,0.085364329,,0.769419319,0.230580681,,0.081194219,0.918805781,,,,,,,,,,,
0.032323118,0.916565147,5.11E-02,,0.032323118,0.967676882,,0.82460109,0.17539891,,,,,,,,,,,
0.003643453,0.954550268,0.041806279,,0.003643453,0.996356547,,0.993898992,0.006101008,,,,,,,,,,,
0.76325298,0.086013477,0.150733543,,0.76325298,0.23674702,,0.207054863,0.792945137,,,,,,,,,,,
0.10141798,0.86537809,0.03320393,,0.10141798,0.89858202,,0.060877485,0.939122515,,,,,,,,,,,
0.018397623,0.889963426,0.091638951,,0.018397623,0.981602377,,0.153420282,0.846579718,,,,,,,,,,,
0.509584648,0.032320498,0.458094854,,0.509584648,0.490415352,,0.225992013,0.774007987,,,,,,,,,,,
0.776698373,0.023174721,0.200126906,,0.776698373,0.223301627,,0.048850457,0.951149543,,,,,,,,,,,
0.018085441,0.97415757,0.007756989,,0.018085441,0.981914559,,0.767226679,0.232773321,,,,,,,,,,,
0.238608067,0.504878856,0.256513077,,0.238608067,0.761391933,,0.928806335,0.071193665,,,,,,,,,,,
0.005476703,0.081704593,0.912818703,,0.005476703,0.994523297,,0.76016492,0.23983508,,,,,,,,,,,
0.012377106,0.018205298,0.969417596,,0.012377106,0.987622894,,0.85620788,0.14379212,,,,,,,,,,,
0.006054632,0.01864432,0.975301048,,0.006054632,0.993945368,,0.802267443,0.197732557,,,,,,,,,,,
0.972705431,0.000176158,0.027118411,,0.972705431,0.027294569,,0.789703819,0.210296181,,,,,,,,,,,
0.019975673,0.102969145,0.877055182,,0.019975673,0.980024327,,0.900444346,0.099555654,,,,,,,,,,,
0.149695486,0.833272021,0.017032493,,0.149695486,0.850304514,,0.185916131,0.814083869,,,,,,,,,,,
0.881078188,1.09E-01,0.010043436,,0.881078188,0.118921812,,0.859043377,0.140956623,,,,,,,,,,,
0.954044466,0.008337849,0.037617685,,0.954044466,0.045955534,,0.869569975,0.130430025,,,,,,,,,,,
0.008550993,0.010084726,0.981364281,,0.008550993,0.991449007,,0.989042091,0.010957909,,,,,,,,,,,
0.15930595,0.776359833,0.064334216,,0.15930595,0.84069405,,0.900393877,0.099606123,,,,,,,,,,,
0.007127295,0.046511546,0.946361159,,0.007127295,0.992872705,,0.923204361,0.076795639,,,,,,,,,,,
0.010822697,0.041999322,0.94717798,,0.010822697,0.989177303,,0.949544302,0.050455698,,,,,,,,,,,
0.06686098,0.91315045,0.01998857,,0.06686098,0.93313902,,0.098959773,0.901040227,,,,,,,,,,,
0.015972879,0.017829724,0.966197397,,0.015972879,0.984027121,,0.894153898,0.105846102,,,,,,,,,,,
0.034921616,0.134697668,0.830380716,,0.034921616,0.965078384,,0.866217454,0.133782546,,,,,,,,,,,
0.009441471,0.868922487,0.121636043,,0.009441471,0.990558529,,0.778959215,0.221040785,,,,,,,,,,,
0.021130558,0.929937157,0.048932285,,0.021130558,0.978869442,,0.852777172,0.147222828,,,,,,,,,,,
0.068701228,0.893834885,0.037463887,,0.068701228,0.931298772,,0.114032545,0.885967455,,,,,,,,,,,
0.008014287,0.027178508,0.964807206,,0.008014287,0.991985713,,0.868459361,0.131540639,,,,,,,,,,,
0.821185742,0.108013421,0.070800837,,0.821185742,0.178814258,,0.027597805,0.972402195,,,,,,,,,,,
0.001493358,0.09620823,9.02E-01,,0.001493358,0.998506642,,0.8298372,0.1701628,,,,,,,,,,,
0.033050216,0.917479776,0.049470008,,0.033050216,0.966949784,,0.812172783,0.187827217,,,,,,,,,,,
0.991132008,3.83E-03,0.005039729,,0.991132008,0.008867992,,0.107579699,0.892420301,,,,,,,,,,,
0.938222183,0.010504595,0.051273221,,0.938222183,0.061777817,,0.754451697,0.245548303,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,